Freq.	V(n002)
1.78288755363047e+06	(1.06512571640546e+01dB,1.32945342957671e+02°)
2.04800000000001e+06	(9.96559058650577e+00dB,1.29010835344830e+02°)
2.35253423103394e+06	(9.20023547472277e+00dB,1.25185930631139e+02°)
2.70235220126290e+06	(8.36091578909883e+00dB,1.21532602508490e+02°)
3.10418752821331e+06	(7.45522904455811e+00dB,1.18098812452893e+02°)
3.56577510726094e+06	(6.49177817942445e+00dB,1.14916798900057e+02°)
4.09600000000002e+06	(5.47936963108166e+00dB,1.12003643610966e+02°)
4.70506846206788e+06	(4.42639427444689e+00dB,1.09363409589588e+02°)
5.40470440252580e+06	(3.34043013627733e+00dB,1.06990032204862e+02°)
6.20837505642662e+06	(2.22804721605553e+00dB,1.04870293060364e+02°)
7.13155021452188e+06	(1.09476546886410e+00dB,1.02986456072818e+02°)
8.19200000000004e+06	(-5.48882049213214e-02dB,1.01318377672803e+02°)
9.41013692413576e+06	(-1.21726975983777e+00dB,9.98450653433603e+01°)
1.08094088050516e+07	(-2.38948744110197e+00dB,9.85457475766813e+01°)
1.24167501128532e+07	(-3.56927144641502e+00dB,9.74005526341721e+01°)
1.42631004290438e+07	(-4.75485497280723e+00dB,9.63908953533818e+01°)
1.63840000000001e+07	(-5.94487145145608e+00dB,9.54996577380879e+01°)
1.88202738482715e+07	(-7.13826893624861e+00dB,9.47112307851459e+01°)
2.16188176101032e+07	(-8.33424055458909e+00dB,9.40114674043738e+01°)
2.48335002257065e+07	(-9.53216900686535e+00dB,9.33875815876944e+01°)
2.85262008580876e+07	(-1.07315828411618e+01dB,9.28280176427927e+01°)
3.27680000000002e+07	(-1.19321223197945e+01dB,9.23223049946057e+01°)
3.76405476965431e+07	(-1.31335129432147e+01dB,9.18609081817806e+01°)
4.32376352202065e+07	(-1.43355449963459e+01dB,9.14350776318822e+01°)
4.96670004514130e+07	(-1.55380577758185e+01dB,9.10367040758836e+01°)
5.70524017161751e+07	(-1.67409274177131e+01dB,9.06581776603313e+01°)
6.55360000000004e+07	(-1.79440574651529e+01dB,9.02922516401434e+01°)
7.52810953930862e+07	(-1.91473714929420e+01dB,8.99319097766343e+01°)
8.64752704404130e+07	(-2.03508072459086e+01dB,8.95702360787347e+01°)
9.93340009028261e+07	(-2.15543118534656e+01dB,8.92002852122416e+01°)
1.00000000000000e+08	(-2.16123245372659e+01dB,8.91821220321292e+01°)
